fen,actions,H,U,HU,result
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1990,0.5787658095359802,0.005506695248186588,0.0031870869331846463,1-0
rnbqkbnr/ppppp1pp/5p2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,400,,0.00623099273070693,,1-0
rnbqkb1r/ppppp1pp/5p1n/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 2 3,4555,,0.00877632386982441,,1-0
rnbqkb1r/ppppp1pp/5p2/8/8/2N5/PPPPPP1P/R1BQKB1R w KQkq - 0 4,3915,,0.007424621377140284,,1-0
rnbqkb1r/pp1pp1pp/2p2p2/8/4P3/2N5/PPPP1P1P/R1BQKB1R w KQkq - 0 5,1135,,0.013867383822798729,,1-0
rnbqkb1r/pp1pp2p/2p2pp1/7Q/4P3/2N5/PPPP1P1P/R1B1KB1R w KQkq - 0 6,12460,2.053847312927246,0.01329009048640728,0.02729581663406755,1-0
rnbqkb1r/pp1p3p/2p1ppp1/3Q4/4P3/2N5/PPPP1P1P/R1B1KB1R w KQkq - 0 7,11275,0.3125663697719574,0.020030371844768524,0.006260820612701723,1-0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1990,0.5787658095359802,0.005506695248186588,0.0031870869331846463,0-1
rnbqkbnr/ppppp1pp/5p2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,400,,0.00623099273070693,,0-1
rnbqkb1r/ppppp1pp/5p1n/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 2 3,4555,,0.00877632386982441,,0-1
rnbqkb1r/pp1pp1pp/2p2p1n/8/6P1/2N2N2/PPPPPP1P/R1BQKB1R w KQkq - 0 4,3875,,0.007453182712197304,,0-1
rnbqkb1r/pp1p2pp/2p1pp1n/8/6P1/2N1PN2/PPPP1P1P/R1BQKB1R w KQkq - 0 5,1665,,0.01065573189407587,,0-1
rnbqkb1r/pp1p3p/2p1pppn/8/6P1/2NBPN2/PPPP1P1P/R1BQK2R w KQkq - 0 6,6210,,0.011945650912821293,,0-1
rnbqk2r/pp1p3p/2p1pp2/8/1b4P1/2N1PN2/PPPP1P1P/R1BQK2R w KQkq - 1 7,3595,,0.007991926744580269,,0-1
rnbqk2r/pp5p/2p1pp2/3p4/1b1P2P1/2N1PN2/PPP2P1P/R1BQK2R w KQkq - 0 8,4875,,0.006132582202553749,,0-1
rnbqk2r/pp6/2p1pp2/3p3p/1b1P2PP/2N1PN2/PPP2P2/R1BQK2R w KQkq - 0 9,6790,,0.0056073302403092384,,0-1
rnbqk2r/pp6/2p1p3/3p3p/1b1P2PP/2N1P3/PPP2P2/R1BQK2R w KQkq - 0 10,4235,,0.005471209064126015,,0-1
rnbqk2r/pp6/2p5/3pp2p/1b1P1PPP/2N1P3/PPP5/R1BQK2R w KQkq - 0 11,6435,,0.003621887182816863,,0-1
rnb1k2r/pp6/1qp5/3pp2p/1b1PPPPP/2N5/PPP5/R1BQK2R w KQkq - 1 12,9315,,0.004844625946134329,,0-1
rnb1k2r/pp6/1qp5/3p1P1p/1b2P1PP/8/PPP5/R1BQK2R w KQkq - 0 13,3235,,0.008322667330503464,,0-1
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,16920,0.3527347445487976,0.0027713938616216183,0.0009775669058232073,0-1
rnbqkbnr/ppppp1pp/5p2/8/8/4PN2/PPPP1PPP/RNBQKB1R b KQkq - 0 2,16600,,0.004438985139131546,,0-1
rnbqkbnr/pppp2pp/4pp2/8/3N4/4P3/PPPP1PPP/RNBQKB1R b KQkq - 1 3,19340,,0.001867876504547894,,0-1
rnbqk1nr/pppp2pp/4pp2/8/1b1N4/2P1P3/PP1P1PPP/RNBQKB1R b KQkq - 0 4,14360,,0.002525737974792719,,0-1
rnbqk1nr/pppp2pp/4p3/1N3p2/1b6/2P1P3/PP1P1PPP/RNBQKB1R b KQkq - 1 5,18740,,0.002986426930874586,,0-1
rnb1k1nr/pppp2pp/4p3/1N3p2/1b5q/2P1P1P1/PP1P1P1P/RNBQKB1R b KQkq - 0 6,9905,0.51341313123703,0.004010758828371763,0.002059176248710909,0-1
rnb1k1nr/pppp2pp/4p3/1N3p1Q/1b2q3/2P1P1P1/PP1P1P1P/RNB1KB1R b KQkq - 2 7,17240,,0.00468622799962759,,0-1
rnb1k1nr/pppp3p/4p1p1/1N6/1b6/2P1P1P1/PP1P1P1P/RNB1KB1R b KQkq - 0 8,19755,,0.005280339624732733,,0-1
rnb1k2r/pppp3p/4pnp1/1N6/1b6/2P1PPP1/PP1P3P/RNB1KB1R b KQkq - 0 9,14315,,0.0034543436486274004,,0-1
rnb1k2r/pppp3p/4p1p1/1N6/1b6/2P1P1P1/PP1P3P/RNB1KB1R b KQkq - 0 10,19205,,0.0034265159629285336,,0-1
rnb2rk1/pppp3p/4p1p1/1N6/1b6/2PBP1P1/PP1P3P/RNB1K2R b KQ - 2 11,19280,,0.002328981179744005,,0-1
