fen,n,W,D,L,pW,pD,pL,mean_reward,reward_variance,result_entropy,ci95_low,ci95_high,ci95_width,ci_contains_zero,H_mean,U_mean,HU_mean,H_count,U_count,HU_count,H_fraction,U_fraction,HU_fraction
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,63,26,5,32,0.4126984126984127,0.07936507936507936,0.5079365079365079,-0.09523809523809523,0.91156462585034,1.3134533656252305,-0.33099886895227776,0.1405226784760873,0.47152154742836505,True,2.1195959477197555,0.01257939910930064,0.02674867280288009,63,63,63,1.0,1.0,1.0
rnbqkb1r/pppppppp/5n2/6B1/3P4/8/PPP1PPPP/RN1QKBNR b KQkq - 2 2,14,5,2,7,0.35714285714285715,0.14285714285714285,0.5,-0.14285714285714285,0.8367346938775511,1.4315602842833155,-0.6220142800989517,0.3362999943846659,0.9583142744836175,True,0.4425191581249237,0.023833206189530238,0.010412524208173235,2,14,2,0.14285714285714285,1.0,0.14285714285714285
rnbqkb1r/ppp1pppp/5n2/3p2B1/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3,12,4,2,6,0.3333333333333333,0.16666666666666666,0.5,-0.16666666666666669,0.8055555555555555,1.4591479170272448,-0.6744813059502053,0.34114797261687196,1.0156292785670773,True,0.18154294256653106,0.028377695474773645,0.005518979722520551,7,12,7,0.5833333333333334,1.0,0.5833333333333334
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,3000,1732,299,969,0.5773333333333334,0.09966666666666667,0.323,0.25433333333333336,0.835647888888889,1.3157331102535317,0.22162193392493829,0.2870447327417284,0.06542279881679014,False,0.7507431358098984,0.00737594123929739,0.005377549614484325,3000,3000,3000,1.0,1.0,1.0
rnbqkbnr/ppppp1pp/5p2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,2351,1373,231,747,0.584006805614632,0.09825606125053168,0.31773713313483626,0.26626967247979577,0.8308444002669706,1.3076166269313547,0.22942441251820034,0.3031149324413912,0.07369051992319087,False,1.2082847226504705,0.007911046812020048,0.009363208934664627,1990,2351,1990,0.8464483198638877,1.0,0.8464483198638877
rnbqkb1r/ppppp1pp/5p1n/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 2 3,1031,614,103,314,0.5955383123181377,0.09990300678952474,0.30455868089233756,0.29097963142580013,0.8154278473057808,1.2996960232758363,0.23585933711877446,0.3460999257328258,0.11024058861405131,False,0.6535850644901099,0.014338777765494371,0.009366927510075654,151,1031,151,0.14645974781765275,1.0,0.14645974781765275
rnbqkb1r/pp1pp1pp/2p2p1n/8/6P1/2N2N2/PPPPPP1P/R1BQKB1R w KQkq - 0 4,421,242,48,131,0.5748218527315915,0.11401425178147269,0.31116389548693585,0.2636579572446556,0.8164702298001028,1.3404281649750105,0.1773447568315228,0.34997115765778847,0.17262640082626568,False,0.29301455191203524,0.013596278763511119,0.003440832866281924,14,421,14,0.0332541567695962,1.0,0.0332541567695962
rnbqkb1r/pp1p2pp/2p1pp1n/8/3P2P1/2N2N2/PPP1PP1P/R1BQKB1R w KQkq - 0 5,355,210,38,107,0.5915492957746479,0.10704225352112676,0.30140845070422534,0.29014084507042254,0.8087760365006942,1.314633603784538,0.19658992740821465,0.3836917627326304,0.18710183532441574,False,0.8660803325474262,0.014233812377591368,0.011171845187849838,64,355,64,0.18028169014084508,1.0,0.18028169014084508
rnbqk2r/pp1p2pp/2pbpp1n/8/3PP1P1/2N2N2/PPP2P1P/R1BQKB1R w KQkq - 1 6,67,43,5,19,0.6417910447761194,0.07462686567164178,0.2835820895522388,0.3582089552238806,0.7970594787257741,1.2056466877405314,0.1444343785563361,0.571983531891425,0.4275491533350889,False,1.306381992995739,0.013366701672159469,0.014993667046212085,16,67,16,0.23880597014925373,1.0,0.23880597014925373
r1bqk2r/pp1p2pp/n1pbpp1n/4P3/3P2P1/2N2N2/PPP2P1P/R1BQKB1R w KQkq - 1 7,12,6,1,5,0.5,0.08333333333333333,0.4166666666666667,0.08333333333333331,0.9097222222222223,1.3250112108241772,-0.45631627945081826,0.622982946117485,1.0792992255683032,True,1.4729712009429932,0.013292308586339155,0.012796233180639494,3,12,3,0.25,1.0,0.25
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,2639,1440,299,900,0.5456612353164078,0.11330049261083744,0.34103827207275483,0.20462296324365292,0.8448289503025492,1.3621196931529838,0.16955481855466475,0.2396911079326411,0.07013628937797634,False,0.8398163601411658,0.014827783028946292,0.012518553942087876,2639,2639,2639,1.0,1.0,1.0
rnbqkbnr/ppp1pppp/3p4/8/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 1 2,21,16,2,3,0.7619047619047619,0.09523809523809523,0.14285714285714285,0.6190476190476191,0.5215419501133786,1.0230370655328809,0.31017239962621324,0.9279228384690249,0.6177504388428117,False,1.347862683236599,0.027098279180271283,0.03894372920343889,8,21,8,0.38095238095238093,1.0,0.38095238095238093
rnbqkbnr/pp2pppp/2pp4/6N1/8/2N5/PPPPPPPP/R1BQKB1R b KQkq - 1 3,14,10,2,2,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.5306122448979593,1.1488348542809166,0.18985990240446649,0.9529972404526763,0.7631373380482098,False,0.6057851910591125,0.018890342276011194,0.014092738829550533,3,14,3,0.21428571428571427,1.0,0.21428571428571427
rnbqkb2/pp2p1p1/2pp1p2/8/8/2N5/PPPPPPPP/R1BQKB1R b KQq - 0 4,31,22,6,3,0.7096774193548387,0.1935483870967742,0.0967741935483871,0.6129032258064516,0.43080124869927167,1.1357395969510384,0.3818533598871,0.8439530917258032,0.46209973183870323,False,,0.029588391103090778,,0,31,0,0.0,1.0,0.0
rnbqkb2/pp4p1/2pp1p2/4p3/8/2N1P3/PPPP1PPP/R1BQKB1R b KQq - 0 5,11,7,2,2,0.6363636363636364,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.6115702479338843,1.3092966682370037,-0.0075959959965464785,0.9166869050874555,0.924282901084002,True,,0.03668783977627754,,0,11,0,0.0,1.0,0.0
rnbqkbnr/ppp1p1pp/5p2/3p4/8/4PN2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,173,94,26,53,0.5433526011560693,0.15028901734104047,0.3063583815028902,0.23699421965317913,0.7935447225099402,1.4119544194216043,0.10425149021355445,0.3697369490928038,0.26548545887924935,False,0.9871872883398556,0.013959189080175637,0.013128749189606931,103,173,103,0.5953757225433526,1.0,0.5953757225433526
rnbqkbnr/ppp1p1pp/8/3p4/8/4P3/PPPP1PPP/RNBQKB1R w KQkq - 0 4,151,81,24,46,0.5364238410596026,0.15894039735099338,0.304635761589404,0.23178807947019864,0.7873338888645235,1.4261477841622647,0.09026114822991632,0.37331501071048095,0.28305386248056463,False,0.13798333406448365,0.010618220493567502,0.0012907746225214456,15,151,15,0.09933774834437085,1.0,0.09933774834437085
rnbqkbnr/ppp1p2p/6p1/3p3Q/8/4P3/PPPP1PPP/RNB1KB1R w KQkq - 0 5,151,81,24,46,0.5364238410596026,0.15894039735099338,0.304635761589404,0.23178807947019864,0.7873338888645235,1.4261477841622647,0.09026114822991632,0.37331501071048095,0.28305386248056463,False,0.05197387825669223,0.01140527483939335,0.000534305498766645,131,151,131,0.8675496688741722,1.0,0.8675496688741722
rn1qkbnr/ppp1p2p/4b1p1/3pQ3/8/4P3/PPPP1PPP/RNB1KB1R w KQkq - 2 6,149,79,24,46,0.5302013422818792,0.1610738255033557,0.3087248322147651,0.2214765100671141,0.7898743299851358,1.433117318435843,0.07877322959985977,0.36417979053436844,0.28540656093450867,False,1.3705998902418175,0.012426514103508635,0.017099144306115113,98,149,98,0.6577181208053692,1.0,0.6577181208053692
r3kbnr/p3p2p/4b1p1/1p1p4/8/4P3/PPPP1PPP/RNB1KB1R w KQkq - 0 7,86,45,14,27,0.5232558139534884,0.16279069767441862,0.313953488372093,0.2093023255813954,0.793401838831801,1.4400052104921506,0.02104778203897603,0.3975568691238147,0.37650908708483866,False,,0.01408846093731564,,0,86,0,0.0,1.0,0.0
