fen,n,W,D,L,pW,pD,pL,mean_reward,reward_variance,result_entropy,ci95_low,ci95_high,ci95_width,ci_contains_zero,H_mean,U_mean,HU_mean
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,1800,1030,203,567,0.5722222222222222,0.11277777777777778,0.315,0.2572222222222222,0.8210589506172838,1.3408868221261856,0.21536224300473897,0.2990822014397054,0.08371995843496641,False,0.6322555691003799,0.005261791869997978,0.003321253002083503
rnbqkbnr/ppppp1pp/5p2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,1636,946,183,507,0.578239608801956,0.11185819070904646,0.3099022004889976,0.26833740831295844,0.8161368445908382,1.3342310539406843,0.224561221036524,0.31211359558939283,0.08755237455286882,False,1.3248918523208153,0.005907353578467824,0.007814151721299486
rnbqkb1r/ppppp1pp/5p1n/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 2 3,381,236,33,112,0.6194225721784777,0.08661417322834646,0.29396325459317585,0.3254593175853019,0.8074620593685632,1.2529319201477178,0.23523020922422075,0.415688425946383,0.18045821672216225,False,,0.00842641385423699,
rnbqkb1r/ppppp1pp/5p2/8/8/2N5/PPPPPP1P/R1BQKB1R w KQkq - 0 4,166,113,13,40,0.6807228915662651,0.0783132530120482,0.24096385542168675,0.43975903614457834,0.7282987371171432,1.1602017031285818,0.30993687771980666,0.5695811945693501,0.2596443168495434,False,,0.0075140575519257995,
rnbqkb1r/pp1pp1pp/2p2p2/8/4P3/2N5/PPPP1P1P/R1BQKB1R w KQkq - 0 5,63,53,1,9,0.8412698412698413,0.015873015873015872,0.14285714285714285,0.6984126984126984,0.4963466868228774,0.7057067631057836,0.524444294137667,0.8723811026877297,0.3479368085500627,False,,0.013953912677982497,
rnbqkb1r/pp1pp1pp/2p2p1n/8/6P1/2N2N2/PPPPPP1P/R1BQKB1R w KQkq - 0 4,127,72,12,43,0.5669291338582677,0.09448818897637795,0.33858267716535434,0.22834645669291337,0.8533697067394135,1.3147985878375943,0.06768383793827995,0.3890090754475468,0.3213252375092669,False,,0.007088406462457002,
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,1676,863,172,641,0.5149164677804295,0.1026252983293556,0.38245823389021477,0.13245823389021477,0.8798295179453295,1.360482255457817,0.08755161596829761,0.17736485181213194,0.08981323584383433,False,0.37220119871643675,0.0027250484127200126,0.0010124652224848987
rnbqkbnr/ppppp1pp/5p2/8/8/4PN2/PPPP1PPP/RNBQKB1R b KQkq - 0 2,994,498,101,395,0.5010060362173038,0.10160965794768612,0.39738430583501005,0.10362173038229372,0.8876528790448931,1.3638270768356269,0.0450515607518,0.16219190001278744,0.11714033926098744,False,0.7021745481644289,0.00443593094310905,0.0031198776974498267
rnbqkbnr/pppp2pp/4pp2/8/3N4/4P3/PPPP1PPP/RNBQKB1R b KQkq - 1 3,355,173,27,155,0.48732394366197185,0.07605633802816901,0.43661971830985913,0.05070422535211272,0.9213727435032731,1.3100641474707095,-0.04914658522917534,0.15055503593340078,0.19970162116257612,True,1.138924026153457,0.0017941100913113062,0.0020376044454629297
rnbqk1nr/pppp2pp/4pp2/8/1b1N4/2P1P3/PP1P1PPP/RNBQKB1R b KQkq - 0 4,93,44,7,42,0.4731182795698925,0.07526881720430108,0.45161290322580644,0.021505376344086058,0.9242687015839982,1.309655505396717,-0.17388615659425055,0.21689690928242267,0.3907830658766732,True,1.4163288871447246,0.0025051330887181783,0.003545929429308198
rnbqk1nr/pppp2pp/4p3/1N3p2/1b6/2P1P3/PP1P1PPP/RNBQKB1R b KQkq - 1 5,56,23,5,28,0.4107142857142857,0.08928571428571429,0.5,-0.0892857142857143,0.9027423469387755,1.338470934890443,-0.3381347631752999,0.1595633346038713,0.4976980977791712,True,0.36096780719580474,0.0030882758354502065,0.0011158920643904837
